Entity,Code,Year,"GDP per capita, PPP (constant 2011 international $)",Life satisfaction in Cantril Ladder (World Happiness Report 2019)
Finland,FIN,2017,40585.7210349228,7.788251877
Denmark,DNK,2017,46682.5147204669,7.593702316
Norway,NOR,2017,64800.0573263061,7.578744888
Iceland,ISL,2017,46482.9582874747,7.476213932
Switzerland,CHE,2017,57410.1658575199,7.473593235
Netherlands,NLD,2017,48472.5445411531,7.458965302
Canada,CAN,2017,44017.5909063335,7.414868355
Israel,ISR,2017,33132.3203044888,7.331036091
New Zealand,NZL,2017,36085.8427771972,7.32718277
Austria,AUT,2017,45436.6858219914,7.293727875
Sweden,SWE,2017,46949.2830858792,7.286804676
Australia,AUS,2017,44648.7099113362,7.25703764
Costa Rica,CRI,2017,15524.9945630542,7.22518158
United Kingdom,GBR,2017,39753.2438934915,7.103273392
Germany,DEU,2017,45229.2452947032,7.074324608
Luxembourg,LUX,2017,94277.9653571589,7.061380863
Ireland,IRL,2017,67335.2934089652,7.060155392
United Arab Emirates,ARE,2017,67293.4827590288,7.039419651
United States,USA,2017,54225.4461231621,6.9917593
Belgium,BEL,2017,42658.57617009,6.928347588
Czechia,CZE,2017,32605.9063265661,6.789567947
Malta,MLT,2017,36513.323442225,6.675665855
France,FRA,2017,38605.6708967878,6.635222435
Panama,PAN,2017,22267.0368216362,6.567658901
Nicaragua,NIC,2017,5321.44351591724,6.476356506
Uzbekistan,UZB,2017,6253.10386034453,6.421447754
Mexico,MEX,2017,17336.469071694,6.410299301
Singapore,SGP,2017,85535.3832002,6.378437996
Slovakia,SVK,2017,30155.1521229863,6.365509033
El Salvador,SLV,2017,7292.45780376927,6.339318275
Uruguay,URY,2017,20551.4094200387,6.336009979
Brazil,BRA,2017,14103.4515313404,6.332929134
Guatemala,GTM,2017,7423.80759192956,6.325118542
Chile,CHL,2017,22767.0371912423,6.320119381
Saudi Arabia,SAU,2017,49045.4112618159,6.294282436
Lithuania,LTU,2017,29524.2646006684,6.272940636
Spain,ESP,2017,34272.3603838191,6.230173111
